# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-a" "00ref/UCSC_hg19_chr19_gene_annotation.gtf" "-o" "08feature_count/out_counts.txt" "04align_out/adrenalAligned.sortedByCoord.out.bam" "04align_out/brainAligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	04align_out/adrenalAligned.sortedByCoord.out.bam	04align_out/brainAligned.sortedByCoord.out.bam
PTBP1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	797392;797392;797392;797392;799413;799413;799413;799413;803561;803561;803561;804036;804036;804036;804292;804292;804292;804532;804532;804532;804829;804829;804829;805013;805013;805013;805492;805513;806408;806408;806408;807869;807869;807869;807869;808360;808360;808360;808360;808546;808546;808546;808546;810543;810543;810543;810543;810694;810694;810694;810694	797505;797505;797505;797505;799443;799443;799443;799443;803636;803636;803636;804208;804208;804208;804438;804438;804438;804702;804702;804702;804939;804939;804939;805187;805187;805187;805569;805569;806556;806556;806556;807902;807902;807902;807902;808452;808452;808452;808452;808762;808762;808762;808762;810620;810620;810620;810620;812327;812327;812327;812327	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3281	0	0
MIR4745	chr19	804932	805023	+	92	0	0
LPPR3	chr19;chr19;chr19;chr19;chr19;chr19;chr19	812518;814434;814886;815186;815666;821485;821915	813895;814749;815081;815327;815851;821585;821952	-;-;-;-;-;-;-	2357	0	0
MIR3187	chr19	813584	813653	+	70	0	0
AZU1	chr19;chr19;chr19;chr19;chr19	827831;828230;829562;830708;831716	827904;828386;829706;830941;832017	+;+;+;+;+	912	0	0
PRTN3	chr19;chr19;chr19;chr19;chr19	840985;843461;843893;846147;847799	841069;843626;844034;846377;848175	+;+;+;+;+	1001	0	0
ELANE	chr19;chr19;chr19;chr19;chr19	852291;852876;853262;855564;855958	852395;853032;853403;855794;856246	+;+;+;+;+	924	0	0
CFD	chr19;chr19;chr19;chr19;chr19	859665;860617;860861;861699;863092	859744;860773;861005;861956;863610	+;+;+;+;+	1159	0	0
MED16	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	867962;868416;868863;871037;871926;873449;875244;876974;879937;881559;884903;885770;889638;890137;890963;893086	868251;868499;868946;871253;872118;873582;875454;877180;880148;881714;885008;886201;889807;890244;891149;893218	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2924	0	0
R3HDM4	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	896503;899440;899601;900061;900829;901422;901976;913087	897540;899495;899686;900146;900952;901546;902130;913225	-;-;-;-;-;-;-;-	1809	0	0
KISS1R	chr19;chr19;chr19;chr19;chr19	917342;918544;919490;919874;920290	917746;918668;919625;920106;921015	+;+;+;+;+	1625	0	0
ARID3A	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	926037;929262;932418;960092;964248;964833;966572;968405;971878	926059;929896;932742;960164;964431;965080;966868;968503;972803	+;+;+;+;+;+;+;+;+	2810	0	0
WDR18	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	984328;985865;989762;990223;990852;991081;991227;991955;994019;994212	984563;985975;989895;990364;990995;991145;991351;992121;994087;994569	+;+;+;+;+;+;+;+;+;+	1551	0	0
GRIN3B	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1000437;1003129;1004520;1007627;1007855;1008139;1008617;1008856;1009172	1000862;1003721;1005552;1007772;1007970;1008290;1008781;1008926;1009723	+;+;+;+;+;+;+;+;+	3254	0	0
C19orf6	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1009650;1009650;1011095;1011366;1011366;1011579;1011579;1011740;1011740;1011891;1011891;1012065;1012065;1012462;1012462;1013240;1013240;1014191;1014191;1020771;1020771	1010894;1010894;1011194;1011498;1011498;1011662;1011662;1011797;1011797;1011991;1011991;1012187;1012187;1012572;1012572;1013339;1013339;1014472;1014472;1021141;1021141	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2708	0	0
CNN2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1026298;1026298;1031070;1031070;1032391;1032391;1032558;1032558;1036129;1036415;1036415;1037624;1037624	1026723;1026723;1031191;1031191;1032457;1032457;1032695;1032695;1036245;1036561;1036561;1039064;1039064	+;+;+;+;+;+;+;+;+;+;+;+;+	2458	0	0
ABCA7	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1040102;1041224;1041509;1041830;1042063;1042314;1042745;1043040;1043333;1043724;1044576;1045001;1046229;1046801;1047156;1047452;1048894;1049265;1050920;1051154;1051448;1051941;1052213;1053328;1053787;1054005;1054192;1054569;1054779;1055096;1055906;1056065;1056329;1056906;1057313;1057914;1058145;1058617;1058819;1059022;1061781;1062171;1063543;1063759;1064160;1064930;1065269	1040195;1041426;1041602;1041971;1042175;1042396;1042825;1043250;1043472;1043840;1044743;1045230;1046405;1047023;1047377;1047653;1049004;1049436;1051051;1051293;1051585;1052125;1052285;1053530;1053835;1054109;1054340;1054693;1054877;1055350;1055938;1056242;1056498;1057083;1057428;1058058;1058268;1058746;1058939;1059084;1061887;1062312;1063677;1063862;1064252;1065170;1065570	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6818	0	0
HMHA1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1067174;1068413;1073148;1073505;1073673;1073947;1074103;1074342;1074613;1074798;1077856;1079702;1079927;1080254;1080463;1080681;1080891;1081549;1081823;1082839;1083142;1084237;1085659	1067494;1068743;1073291;1073589;1073745;1074013;1074240;1074406;1074723;1074878;1078044;1079839;1080117;1080378;1080546;1080785;1081063;1081737;1081960;1083065;1083352;1084345;1086627	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4264	0	0
POLR2E	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1086578;1089471;1089883;1090086;1090907;1091791;1093903;1095258	1088719;1089550;1089961;1090144;1090987;1091906;1094077;1095391	-;-;-;-;-;-;-;-	2866	0	0
GPX4	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1103936;1103936;1104649;1105185;1105185;1105185;1105365;1105365;1105365;1105657;1105657;1105657;1106241;1106241;1106241;1106377;1106399;1106399;1106539;1106539;1106539	1104126;1104126;1104928;1105279;1105279;1105279;1105509;1105509;1105509;1105808;1105808;1105808;1106265;1106265;1106265;1106458;1106458;1106458;1106787;1106787;1106787	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1219	0	0
SBNO2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1107633;1107633;1108778;1108778;1109134;1109134;1109291;1109291;1109505;1109505;1109682;1109682;1110744;1110744;1111018;1111018;1111505;1111505;1111995;1111995;1112188;1112188;1112401;1112401;1112817;1112817;1113534;1113534;1114230;1114230;1116020;1116020;1116828;1116828;1117322;1117322;1119010;1119010;1119515;1119515;1119905;1119905;1122138;1122138;1122467;1122467;1122657;1122657;1122893;1122893;1123533;1123533;1123941;1123941;1127603;1127603;1132089;1147308;1149368;1154183;1174171	1108703;1108703;1108968;1108968;1109210;1109210;1109422;1109422;1109597;1109597;1109776;1109776;1110887;1110887;1111092;1111092;1111613;1111613;1112066;1112066;1112300;1112300;1112536;1112536;1112948;1112948;1113703;1113703;1114421;1114421;1116102;1116102;1116925;1116925;1117498;1117498;1119163;1119163;1119620;1119620;1120022;1120022;1122281;1122281;1122557;1122557;1122790;1122790;1123044;1123044;1123638;1123638;1124021;1124021;1127764;1127764;1132273;1147419;1149441;1154401;1174282	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5110	0	0
STK11	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1205798;1218416;1219323;1220372;1220580;1221212;1221948;1222984;1226453;1227592	1207202;1218499;1219412;1220504;1220716;1221339;1222005;1223171;1226662;1228434	+;+;+;+;+;+;+;+;+;+	3276	0	0
C19orf26	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1229947;1233425;1234190;1234570;1235000;1235500;1235778;1235995;1237755	1231274;1233635;1234330;1234741;1235144;1235564;1235917;1236120;1237990	-;-;-;-;-;-;-;-;-	2564	0	0
ATP5D	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1241749;1241749;1242455;1242455;1244096;1244096;1244314;1244314;1244736	1241990;1241990;1242608;1242608;1244184;1244184;1244824;1244439;1244824	+;+;+;+;+;+;+;+;+	996	0	0
MIDN	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1248552;1249889;1251561;1251838;1254166;1254901;1255421;1256994	1248659;1250528;1251648;1251900;1254477;1255060;1255693;1259142	+;+;+;+;+;+;+;+	3793	0	0
CIRBP-AS1	chr19;chr19	1267470;1269824	1268389;1270259	-;-	1356	0	0
CIRBP	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1269267;1269267;1269267;1270866;1270927;1270927;1271139;1271139;1271328;1271328;1271328;1271550;1271550;1271550;1271980;1271980;1271980;1272426;1274648;1274648	1269409;1269409;1269409;1271035;1271035;1271035;1271245;1271245;1271466;1271466;1271466;1271631;1271631;1271631;1274439;1272050;1274439;1273171;1274809;1274809	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3263	0	0
C19orf24	chr19;chr19;chr19	1275520;1277182;1278776	1275829;1277298;1279243	+;+;+	895	0	0
EFNA2	chr19;chr19;chr19;chr19	1286153;1295544;1298550;1299823	1286307;1295857;1298615;1301429	+;+;+;+	2142	0	0
MUM1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1354976;1356323;1356323;1357008;1357008;1358393;1358393;1358587;1360135;1360135;1362249;1362249;1364508;1364508;1366304;1366304;1367159;1367159;1369264;1369264;1369595;1369595;1370641;1370641;1373071;1373071;1376518;1376518	1355019;1356448;1356448;1357093;1357093;1358463;1358463;1358699;1361031;1361031;1362350;1362350;1364578;1364578;1366380;1366380;1367219;1367219;1369339;1369339;1369645;1369645;1371077;1371077;1373159;1373159;1378430;1378430	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4214	0	0
NDUFS7	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1383883;1387810;1388524;1388832;1390870;1391118;1393241;1395390	1383941;1387846;1388592;1388937;1391049;1391164;1393329;1395588	+;+;+;+;+;+;+;+	786	0	0
GAMT	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1397025;1397810;1398915;1399127;1399127;1399523;1399523;1399792;1399792;1401295;1401295	1397498;1399025;1399025;1399194;1399194;1399586;1399586;1399937;1399937;1401569;1401569	-;-;-;-;-;-;-;-;-;-;-	2243	0	0
DAZAP1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1407584;1407584;1417499;1417499;1418203;1418203;1418665;1418665;1421147;1421147;1422347;1422347;1425877;1425877;1428841;1428841;1429966;1429966;1430221;1430221;1432513;1432513;1433738;1434736;1434736	1407801;1407801;1417539;1417539;1418369;1418369;1418730;1418730;1421257;1421257;1422395;1422395;1425959;1425959;1428994;1428994;1429995;1429995;1430361;1430361;1432689;1432689;1433826;1435682;1435682	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2273	0	0
RPS15	chr19;chr19;chr19;chr19	1438363;1438806;1440018;1440348	1438427;1438891;1440252;1440492	+;+;+;+	531	0	0
APC2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1450148;1452983;1453246;1453430;1455148;1455383;1456075;1456305;1456852;1457964;1460180;1460779;1461036;1461962;1465154	1450337;1453141;1453336;1453610;1455256;1455499;1456152;1456403;1457242;1458059;1460319;1460856;1461152;1462176;1473243	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10151	0	0
C19orf25	chr19;chr19;chr19	1473200;1478773;1479162	1475257;1478904;1479228	-;-;-	2257	0	0
PCSK4	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1481427;1482352;1482895;1483283;1483649;1483837;1484026;1486852;1487140;1487602;1487784;1487963;1488187;1489792;1490157	1482206;1482474;1483019;1483462;1483766;1483940;1484126;1487064;1487312;1487690;1487860;1488091;1488279;1489896;1490407	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2661	0	0
REEP6	chr19;chr19;chr19;chr19;chr19	1491165;1495293;1495468;1496284;1497173	1491383;1495386;1495606;1496452;1497924	+;+;+;+;+	1373	0	0
ADAMTSL5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1505017;1506589;1506738;1507241;1507556;1507997;1508442;1510149;1510367;1510638;1510844;1512962	1506315;1506660;1506927;1507404;1507642;1508108;1508569;1510257;1510427;1510729;1511159;1513188	-;-;-;-;-;-;-;-;-;-;-;-	2857	0	0
PLK5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1524073;1525304;1525594;1526485;1526703;1526902;1527935;1528301;1528897;1529405;1529746;1531737;1533930;1535064	1524245;1525417;1525710;1526614;1526790;1526997;1528133;1528427;1528973;1529489;1529823;1531882;1534040;1535455	+;+;+;+;+;+;+;+;+;+;+;+;+;+	1933	0	0
MEX3D	chr19;chr19;chr19;chr19;chr19	1554668;1554668;1555576;1567463;1567463	1555388;1556922;1556922;1568057;1568057	-;-;-;-;-	2850	0	0
MBD3	chr19;chr19;chr19;chr19;chr19;chr19	1576678;1581091;1582621;1584539;1585054;1592521	1578537;1581268;1582711;1584676;1585213;1592652	-;-;-;-;-;-	2559	0	0
UQCR11	chr19;chr19;chr19	1597154;1599411;1605359	1598214;1599559;1605483	-;-;-	1335	0	0
TCF3	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1609289;1609289;1611703;1612206;1615284;1615685;1615685;1619110;1619110;1619315;1619315;1619779;1619779;1620967;1620967;1621132;1621132;1621837;1621837;1622053;1622053;1622312;1622312;1623950;1623950;1625575;1625575;1627358;1627358;1632037;1632037;1632331;1632331;1646354;1646354;1650176;1650176;1652299	1611848;1611368;1611848;1612432;1615519;1615820;1615820;1619233;1619233;1619473;1619473;1619852;1619852;1621045;1621045;1621190;1621190;1621969;1621969;1622222;1622222;1622414;1622414;1623999;1623999;1625707;1625707;1627425;1627425;1632115;1632115;1632404;1632404;1646426;1646426;1650286;1650286;1652328	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4678	0	0
ONECUT3	chr19;chr19	1753662;1775152	1754853;1775444	+;+	1485	0	0
ATP8B3	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1782074;1782074;1784818;1784818;1785158;1785158;1785468;1785468;1787102;1787102;1788896;1788896;1789360;1789360;1789889;1789889;1790756;1790756;1791749;1791749;1791970;1792000;1795874;1795874;1796076;1796076;1796710;1796710;1796973;1796973;1799946;1799946;1800258;1800258;1801955;1801955;1802486;1802486;1805373;1805373;1805887;1805887;1806096;1806096;1806627;1806627;1807167;1807167;1808221;1808221;1809642;1809642;1810621;1810621;1811488;1811488;1812067;1812185	1783269;1783269;1784945;1784945;1785296;1785296;1785707;1785707;1787185;1787185;1789119;1789119;1789726;1789726;1789988;1789988;1790831;1790831;1791860;1791860;1792134;1792134;1795986;1795986;1796264;1796264;1796878;1796878;1797004;1797004;1800154;1800154;1800448;1800448;1802061;1802043;1802644;1802644;1805455;1805455;1805957;1805957;1806168;1806168;1806688;1806688;1807265;1807265;1808334;1808334;1809733;1809733;1810682;1810682;1811665;1811883;1812199;1812270	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5256	0	0
REXO1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1815245;1816224;1816430;1816697;1817218;1817706;1818481;1818705;1819017;1819933;1820263;1821518;1823571;1825838;1826877;1848201	1816153;1816344;1816568;1816812;1817328;1817779;1818594;1818842;1819130;1820056;1820394;1821681;1823784;1825942;1828630;1848452	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4581	0	0
MIR1909	chr19	1816158	1816237	-	80	0	0
LOC100288123	chr19;chr19;chr19	1822088;1823622;1824108	1823256;1823715;1824542	+;+;+	1698	0	0
KLF16	chr19;chr19	1852398;1863040	1854759;1863564	-;-	2887	0	0
FAM108A1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1876975;1876975;1877507;1877507;1879920;1879920;1880895;1881234;1881234;1885351;1885351	1877424;1877424;1877686;1877686;1880114;1880114;1881047;1881803;1881803;1885518;1885518	-;-;-;-;-;-;-;-;-;-;-	1716	0	0
SCAMP4	chr19;chr19;chr19;chr19;chr19;chr19;chr19	1905373;1914978;1917693;1918126;1918888;1923069;1924107	1905438;1915025;1917821;1918282;1918989;1923186;1926012	+;+;+;+;+;+;+	2526	0	0
ADAT3	chr19;chr19	1905417;1911889	1905438;1913446	+;+	1580	0	0
CSNK1G2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1941161;1969507;1978304;1978441;1978601;1978858;1979162;1979318;1979494;1979751;1979910;1980148	1941417;1969958;1978344;1978510;1978749;1979092;1979247;1979402;1979642;1979834;1980016;1981336	+;+;+;+;+;+;+;+;+;+;+;+	2904	0	0
CSNK1G2-AS1	chr19;chr19;chr19	1952526;1953385;1953842	1953010;1953505;1954548	-;-;-	1313	0	0
BTBD2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1985447;1986829;1987165;1987499;1990003;1990716;1993019;1997343;2015296	1986648;1986975;1987252;1987691;1990200;1990821;1993175;1997462;2015702	-;-;-;-;-;-;-;-;-	2618	0	0
MKNK2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	2037470;2037470;2040133;2040133;2041039;2041039;2041839;2041839;2042426;2042426;2042606;2042606;2042765;2042765;2043123;2043123;2043502;2043502;2046185;2046185;2046366;2046366;2046603;2046603;2050800;2050800;2051095;2051095	2039855;2037828;2040176;2040176;2041203;2041203;2042033;2042033;2042521;2042521;2042661;2042661;2042869;2042869;2043196;2043196;2043581;2043581;2046282;2046282;2046467;2046467;2046690;2046690;2050946;2050946;2051243;2051243	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3785	0	0
